id,activity_type,date,time_spent
7150121,join_session_live - Scheduled Competition,"January 17,2022",74.45366759
8851415,exit_group_section - post_details,"February 16,2022",0
6403312,Live Practice Game,"January 20,2022",1.470314964
6403312,quizon,"January 20,2022",0
1470405,exit_group_section - post_details,"January 17,2022",0
1470405,homework,"January 17,2022",3.388022902
1470405,join_session_live - Scheduled Competition,"January 17,2022",189.3838424
6973617,join_session_live - Scheduled Competition,"February 19,2022",194.9947377
1966353,join_group,"February 25,2022",0
8676104,quizon,"February 16,2022",0
8521362,join_session_replay - Scheduled 1:n,"February 20,2022",29.62031244
5775421,exit_group_section - post_details,"January 17,2022",0
6965047,homework,"February 19,2022",2.305097124
5721985,join_session_live - Scheduled 1:n,"February 16,2022",98.03555227
7047784,exit_group_section - post_details,"February 19,2022",0
5053594,join_session_live - Scheduled 1:n,"February 22,2022",97.92018409
8171605,join_session_live - Scheduled Competition,"February 19,2022",182.0319736
4433552,homework,"February 11,2022",2.942276387
8640483,Live Practice Game,"February 19,2022",0.350895221
5766696,exit_group_section - post_details,"February 16,2022",0
8896151,join_session_live - Scheduled 1:n,"January 20,2022",97.78259971
1972385,join_group,"February 19,2022",0
6670558,join_session_live - Scheduled Competition,"February 16,2022",55.29373758
309,join_session_live - Scheduled 1:n,"February 19,2022",97.57592625
2655649,exit_group_section - post_details,"February 16,2022",0
6802400,exit_group_section - post_details,"February 16,2022",0
6802400,join_group,"January 21,2022",0
6802400,join_session_live - Scheduled Competition,"February 16,2022",69.65360019
4616048,join_group,"February 19,2022",0
7167127,join_group,"January 7,2022",0
8611260,join_session_live - Scheduled 1:n,"February 16,2022",97.54019981
7167127,join_session_replay - Scheduled 1:n,"February 19,2022",16.5312335
6471898,homework,"February 16,2022",4.693335871
8443484,join_group,"February 16,2022",0
3813566,join_session_live - Scheduled 1:n,"February 16,2022",97.46370499
6207541,join_session_replay - Scheduled 1:n,"February 19,2022",24.51275836
6207541,join_session_replay - Scheduled 1:n,"February 20,2022",8.611697263
3906172,join_session_live - Scheduled 1:n,"February 16,2022",97.44706562
453288,homework,"February 19,2022",2.784137074
740415,join_session_live - Scheduled Competition,"February 16,2022",191.2340698
1212455,join_session_live - Scheduled Competition,"February 14,2022",11.18025305
4512561,homework,"January 27,2022",0.637849953
6906822,homework,"February 16,2022",0.374461375
6906822,join_session_replay - Scheduled 1:n,"February 16,2022",26.67984784
4099882,join_session_live - Scheduled 1:n,"February 25,2022",97.41633353
6493241,join_session_replay - Scheduled 1:n,"February 19,2022",22.46892676
1651412,join_session_live - Scheduled 1:n,"February 16,2022",97.39166703
3223837,Live Practice Game,"January 27,2022",1.43296615
3223837,exit_group_section - post_details,"January 27,2022",0
3338615,join_session_live - Scheduled 1:n,"January 20,2022",97.37912354
7569406,join_session_live - Scheduled Competition,"January 7,2022",187.4884892
7989795,join_group,"February 25,2022",0
4161960,Live Practice Game,"February 16,2022",0.657933009
107874,homework,"February 14,2022",1.687311863
2492151,homework,"February 16,2022",3.032075524
6865010,join_session_live - Scheduled Competition,"February 19,2022",17.03755448
4811478,homework,"January 7,2022",2.150721624
5873730,exit_group_section - post_details,"February 16,2022",0
5873730,homework,"February 16,2022",2.78626994
5873730,join_group,"February 16,2022",0
6829275,Live Practice Game,"January 17,2022",0.703872045
6829275,join_session_live - Scheduled Competition,"January 17,2022",190.2578077
5186619,join_session_live - Scheduled 1:n,"February 16,2022",97.3076161
5323714,join_session_replay - Scheduled 1:n,"January 27,2022",11.3173586
6436951,homework,"February 22,2022",4.518089462
6436951,join_session_replay - Scheduled 1:n,"February 19,2022",12.7081768
2045168,join_session_live - Scheduled 1:n,"January 17,2022",97.30471384
780893,join_session_replay - Scheduled 1:n,"February 16,2022",27.52499055
5736553,join_session_live - Scheduled 1:n,"February 16,2022",97.23976276
4747808,join_session_live - Scheduled Competition,"February 11,2022",50.07144344
8617118,join_session_live - Scheduled Competition,"February 19,2022",45.24753098
2198018,homework,"February 25,2022",4.610015413
4124875,Live Practice Game,"February 16,2022",0.276993927
2940107,exit_group_section - post_details,"February 20,2022",0
6442644,join_session_live - Scheduled Competition,"February 20,2022",7.09646838
1572952,homework,"February 16,2022",0.06169863
13371,Live Practice Game,"February 16,2022",0.106922709
8244495,join_session_replay - Scheduled 1:n,"February 25,2022",2.904930081
7511019,join_session_replay - Scheduled 1:n,"January 28,2022",6.938767831
3037331,quizon,"February 25,2022",0
3783895,homework,"February 19,2022",3.482463752
3783895,quizon,"February 19,2022",0
1021245,join_session_live - Scheduled 1:n,"February 19,2022",97.20193037
954177,join_session_live - Scheduled 1:n,"February 16,2022",97.19221332
7997678,homework,"January 29,2022",2.301403861
1414606,join_session_live - Scheduled Competition,"February 16,2022",12.27245393
128903,join_session_live - Scheduled Competition,"January 17,2022",51.44662497
3066303,join_group,"February 19,2022",0
3066303,join_session_live - Scheduled Competition,"February 19,2022",45.24884481
3636854,exit_group_section - post_details,"February 22,2022",0
2562110,join_session_live - Scheduled Competition,"February 16,2022",21.12466202
2562110,join_session_live - Scheduled Competition,"February 19,2022",77.27405698
5492259,join_session_live - Scheduled 1:n,"February 14,2022",97.13174664
8656938,join_session_live - Scheduled Competition,"February 19,2022",49.30910428
1378826,join_group,"February 16,2022",0
1813904,join_group,"February 25,2022",0
4780761,join_group,"February 19,2022",0
4780761,join_session_live - Scheduled Competition,"February 19,2022",60.10765886
4672863,homework,"January 29,2022",0.470780511
6536656,exit_group_section - post_details,"February 16,2022",0
127011,join_session_live - Scheduled 1:n,"February 16,2022",97.07818145
1654846,join_session_replay - Scheduled 1:n,"February 16,2022",8.670474214
